state,county,urban,tot_pop,pop_half,pop1,pop10,pop20,vehicle_half,vehicle1,vehicle10,vehicle20,sum_tract
Illinois,Putnam,Rural,6006,5346,4553,656,0,61,42,10,0,69
Illinois,Randolph,Rural,18021,15880,13400,75,0,361,282,4,0,392
Illinois,Randolph,Urban,15455,13156,8381,0,0,190,46,0,0,229
Illinois,Richland,Rural,7095,6451,6203,446,0,23,21,2,0,32
Illinois,Richland,Urban,9138,4727,733,0,0,182,35,0,0,364
Illinois,Rock Island,Rural,26298,25593,24588,163,0,385,379,2,0,418
Illinois,Rock Island,Urban,121248,77752,18729,0,0,3293,904,0,0,4796
Illinois,Saline,Rural,11223,10928,10454,625,0,206,204,20,0,203
Illinois,Saline,Urban,13690,12222,8247,0,0,649,421,0,0,715
Illinois,Sangamon,Rural,46103,44694,40849,4533,0,456,408,82,0,458
Illinois,Sangamon,Urban,151362,104135,37872,0,0,3174,531,0,0,5522
Illinois,Schuyler,Rural,4265,4252,3803,978,0,19,19,5,0,20
Illinois,Schuyler,Urban,3279,2023,315,0,0,91,14,0,0,113
Illinois,Scott,Rural,5355,3995,3645,223,0,70,60,2,0,112
Illinois,Shelby,Rural,17364,14976,13941,2117,0,240,216,41,0,288
Illinois,Shelby,Urban,4999,4662,3472,0,0,169,125,0,0,198
Illinois,St. Clair,Rural,58191,50371,38201,0,0,625,434,0,0,729
Illinois,St. Clair,Urban,211865,154517,85141,0,0,5859,2987,0,0,8436
Illinois,Stark,Rural,5994,5994,5994,1799,0,112,112,39,0,107
Illinois,Stephenson,Rural,23405,21569,18632,243,0,265,178,2,0,303
Illinois,Stephenson,Urban,24306,14686,3064,0,0,867,202,0,0,1464
Illinois,Tazewell,Rural,40129,37052,34303,3123,0,476,422,29,0,520
Illinois,Tazewell,Urban,95265,78079,52268,0,0,1751,1041,0,0,2269
Illinois,Union,Rural,10621,10537,10321,457,0,174,170,1,0,169
Illinois,Union,Urban,7187,5908,2667,0,0,222,80,0,0,243
Illinois,Vermilion,Rural,36197,30292,25452,2537,0,655,460,42,0,874
Illinois,Vermilion,Urban,45428,29560,9567,0,0,1405,358,0,0,2224
Illinois,Wabash,Rural,3921,3921,3921,379,0,30,30,4,0,27
Illinois,Wabash,Urban,8026,5094,1528,0,0,126,17,0,0,234
Illinois,Warren,Rural,7597,6158,6047,22,0,45,44,0,0,58
Illinois,Warren,Urban,10110,5910,1383,0,0,131,24,0,0,342
Illinois,Washington,Rural,11361,10319,9714,1628,0,107,97,29,0,125
Illinois,Washington,Urban,3355,1447,102,0,0,22,3,0,0,85
Illinois,Wayne,Rural,10802,10793,10748,3226,0,173,173,74,0,161
Illinois,Wayne,Urban,5958,3397,892,0,0,93,14,0,0,222
Illinois,White,Rural,8873,7332,6592,206,0,157,136,4,0,222
Illinois,White,Urban,5792,5501,4408,0,0,172,134,0,0,171
Illinois,Whiteside,Rural,21585,20212,19278,320,0,276,258,4,0,309
Illinois,Whiteside,Urban,36913,28881,14154,0,0,956,362,0,0,1405
Illinois,Will,Rural,48809,42986,33798,0,0,387,267,0,0,425
Illinois,Will,Urban,628751,505864,276630,0,0,5716,2550,0,0,8261
Illinois,Williamson,Rural,27156,25994,23377,1230,0,372,318,8,0,391
Illinois,Williamson,Urban,39201,25979,11319,0,0,740,232,0,0,1432
Illinois,Winnebago,Rural,36338,33529,29208,0,0,413,328,0,0,473
Illinois,Winnebago,Urban,258928,182889,79726,0,0,5270,1257,0,0,8691
Illinois,Woodford,Rural,19052,15043,12131,1,0,190,134,0,0,280
Illinois,Woodford,Urban,19612,16333,12047,0,0,199,102,0,0,308
Indiana,Adams,Rural,22604,20791,17504,4,0,1017,910,0,0,1161
Indiana,Adams,Urban,11783,9975,5833,0,0,297,141,0,0,392
Indiana,Allen,Rural,52264,51101,48569,1126,0,887,704,21,0,1092
Indiana,Allen,Urban,303065,233837,122048,0,0,6526,3009,0,0,8978
Indiana,Bartholomew,Rural,22177,22154,21821,1130,0,144,144,6,0,147
Indiana,Bartholomew,Urban,54617,44708,24930,0,0,995,386,0,0,1413
Indiana,Benton,Rural,8854,6391,4412,140,0,104,73,0,0,154
Indiana,Blackford,Rural,6997,6830,6527,16,0,153,142,1,0,169
Indiana,Blackford,Urban,5769,1845,136,0,0,39,6,0,0,151
Indiana,Boone,Rural,28192,26222,22878,302,0,129,120,4,0,144
Indiana,Boone,Urban,28448,20925,9505,0,0,394,90,0,0,778
Indiana,Brown,Rural,15242,14781,13765,469,0,146,130,7,0,144
Indiana,Carroll,Rural,16873,15401,14577,34,0,190,172,0,0,262
Indiana,Carroll,Urban,3282,1743,376,0,0,34,3,0,0,71
Indiana,Cass,Rural,20890,20465,18604,1063,0,268,204,12,0,276
Indiana,Cass,Urban,18076,5984,201,0,0,250,8,0,0,777
Indiana,Clark,Rural,39167,36401,29444,1058,0,452,342,17,0,492
Indiana,Clark,Urban,71065,51996,24584,0,0,1305,549,0,0,1850
Indiana,Clay,Rural,16836,13925,11361,140,0,214,153,0,0,312
Indiana,Clay,Urban,10054,8126,5529,0,0,202,53,0,0,274
Indiana,Clinton,Rural,17977,17701,16700,246,0,194,175,3,0,189
Indiana,Clinton,Urban,15247,7564,306,0,0,191,10,0,0,373
Indiana,Crawford,Rural,10713,10613,10315,1561,0,204,192,11,0,207
Indiana,Daviess,Rural,20240,18716,16682,20,0,878,777,1,0,910
Indiana,Daviess,Urban,11408,7963,3709,0,0,240,82,0,0,389
Indiana,Dearborn,Rural,25222,24282,23679,0,0,249,235,0,0,277
Indiana,Dearborn,Urban,24825,23244,21326,0,0,550,468,0,0,562
Indiana,Decatur,Rural,17640,16410,15162,2712,0,208,198,90,0,222
Indiana,Decatur,Urban,8100,4362,649,0,0,76,2,0,0,181
Indiana,DeKalb,Rural,21266,20269,18374,0,0,264,197,0,0,298
Indiana,DeKalb,Urban,20957,16735,8922,0,0,473,303,0,0,602
Indiana,Delaware,Rural,28515,26947,25305,0,0,368,325,0,0,414
Indiana,Delaware,Urban,89156,70519,32629,0,0,2552,650,0,0,3337
Indiana,Dubois,Rural,17440,15985,14246,1371,0,149,146,39,0,160
Indiana,Dubois,Urban,24449,13537,6746,0,0,97,14,0,0,314
Indiana,Elkhart,Rural,38359,36950,33944,0,0,1337,1266,0,0,1421
Indiana,Elkhart,Urban,159200,120243,60041,0,0,2863,842,0,0,4795
Indiana,Fayette,Rural,10615,10602,10315,139,0,145,144,1,0,138
Indiana,Fayette,Urban,13662,7766,4620,0,0,386,171,0,0,775
Indiana,Floyd,Rural,22573,22202,21080,0,0,163,159,0,0,167
Indiana,Floyd,Urban,52005,42060,18498,0,0,1461,430,0,0,1866
Indiana,Fountain,Rural,14978,14397,13163,1410,0,203,175,11,0,213
Indiana,Fountain,Urban,2262,1166,14,0,0,18,0,0,0,70
Indiana,Franklin,Rural,23087,19713,18317,1709,0,222,186,21,0,309
Indiana,Fulton,Rural,14886,13420,12480,1030,0,214,203,16,0,224
Indiana,Fulton,Urban,5950,4868,1053,0,0,262,43,0,0,364
Indiana,Gibson,Rural,25440,20631,16907,445,0,239,175,6,0,344
Indiana,Gibson,Urban,8063,4166,935,0,0,107,25,0,0,202
Indiana,Grant,Rural,27992,25432,23697,304,0,398,377,1,0,428
Indiana,Grant,Urban,42069,29076,11287,0,0,1264,538,0,0,1837
Indiana,Greene,Rural,24462,21825,19488,3170,0,305,215,23,0,424
Indiana,Greene,Urban,8703,4665,1445,0,0,203,67,0,0,362
Indiana,Hamilton,Rural,26835,24982,21555,0,0,136,96,0,0,228
Indiana,Hamilton,Urban,247734,210570,128228,0,0,1955,1059,0,0,2517
Indiana,Hancock,Rural,35264,32840,30840,0,0,259,240,0,0,274
Indiana,Hancock,Urban,34738,29563,22209,0,0,414,264,0,0,519
Indiana,Harrison,Rural,39364,36835,34529,15,0,602,530,0,0,713
Indiana,Hendricks,Rural,31878,29273,24930,0,0,176,140,0,0,212
Indiana,Hendricks,Urban,113570,96749,66110,0,0,692,404,0,0,984
Indiana,Henry,Rural,27731,25086,22014,0,0,192,152,0,0,231
Indiana,Henry,Urban,21731,13845,3412,0,0,527,85,0,0,870
Indiana,Howard,Rural,27580,24503,22834,708,0,342,286,0,0,463
Indiana,Howard,Urban,55172,42567,16395,0,0,1614,423,0,0,2269
Indiana,Huntington,Rural,16772,16772,16763,2969,0,79,79,26,0,81
Indiana,Huntington,Urban,20352,15908,7457,0,0,482,214,0,0,599
Indiana,Jackson,Rural,12968,11832,11205,1535,0,180,169,34,0,180
Indiana,Jackson,Urban,29408,22753,11227,0,0,473,131,0,0,704
Indiana,Jasper,Rural,23354,20637,16836,7,0,255,187,0,0,302
Indiana,Jasper,Urban,10124,6617,4364,0,0,67,33,0,0,208
Indiana,Jay,Rural,12278,12278,12133,359,0,224,224,5,0,221
Indiana,Jay,Urban,8975,6967,4278,0,0,295,175,0,0,403
Indiana,Jefferson,Rural,20877,20287,18791,931,0,332,293,10,0,372
Indiana,Jefferson,Urban,11551,6721,2031,0,0,253,85,0,0,526
Indiana,Jennings,Rural,21186,19572,18088,1020,0,339,306,35,0,402
Indiana,Jennings,Urban,7339,7269,6100,0,0,146,104,0,0,155
Indiana,Johnson,Rural,47121,43599,38167,0,0,436,369,0,0,477
Indiana,Johnson,Urban,92533,72574,33599,0,0,1383,569,0,0,1670
Indiana,Knox,Rural,18022,17143,15602,3814,0,282,213,30,0,293
